ArtistID,Popularity,Followers,Alias,Genre
6DPYiyq5kWVQS4RGwxzPC7,81,5982625,Dr. Dre,"{'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap'}"
5EvFsr3kj42KNv97ZEnqij,75,1608161,Shaggy,"{'pop rap', 'reggae fusion'}"
41qil2VaGbD194gaEcmmyx,70,791097,Will Smith,"{'hip hop', 'pop rap'}"
4iHNK0tOyZPYnBU7nGAgpQ,80,7093626,Mariah Carey,"{'dance pop', 'pop', 'r&b', 'urban contemporary'}"
0uq5PttqEjj3IH1bzwcrXF,72,2440556,Spice Girls,"{'dance pop', 'europop', 'girl group', 'pop'}"
5rSXSAkZ67PYJSvpUpkOr7,77,4115997,Backstreet Boys,"{'boy band', 'dance pop'}"
2cnMpRsOVqtPMfq7YiFE6K,75,4268723,Van Halen,"{'album rock', 'classic rock', 'hard rock', 'metal', 'rock'}"
6tbjWDEIzxoDsBA1FuhfPW,79,5482361,Madonna,"{'dance pop', 'pop'}"
5lpH0xAS4fVfLkACg9DAuM,70,1697929,Wham!,"{'disco', 'europop', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock'}"
7wqtxqI3eo7Gn1P7SpP6cQ,64,578199,Salt-N-Pepa,"{'dance pop', 'girl group', 'golden age hip hop', 'hip hop', 'hip pop', 'old school hip hop', 'queens hip hop', 'rap'}"
32vWCbZh0xZ4o9gkz4PsEU,74,1587083,Dolly Parton,"{'classic country pop', 'country', 'country dawn'}"
6IFXsrXBpwbIqtOUOiAa3p,63,581976,Rick Springfield,"{'album rock', 'australian rock', 'classic rock', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock'}"
6zFYqv1mOsgBRQbae3JJ9e,78,3806906,Billy Joel,"{'classic rock', 'folk rock', 'mellow gold', 'piano rock', 'rock', 'singer-songwriter', 'soft rock'}"
6H1RjVyNruCmrBEWRbD0VZ,71,3431977,Def Leppard,"{'album rock', 'hard rock', 'nwobhm', 'rock'}"
0LcJLqbBmaGUft1e9Mm8HV,83,6643000,ABBA,"{'europop', 'swedish pop'}"
4QQgXkCYTt3BlENzhyNETg,77,3150226,"Earth, Wind & Fire","{'disco', 'funk', 'jazz funk', 'motown', 'quiet storm', 'soul'}"
3fMbdgg4jU18AjLCKBhRSm,84,20181764,Michael Jackson,"{'pop', 'r&b', 'soul'}"
2BTZIqw0ntH9MvilQ3ewNY,72,1767996,Cyndi Lauper,"{'mellow gold', 'new wave pop', 'permanent wave', 'soft rock'}"
4lxfqrEsLX6N1N4OCSkILp,78,4044139,Phil Collins,"{'mellow gold', 'rock drums', 'soft rock'}"
7t0rwkOPGlDPEhaOcVtOt9,75,2609977,The Cranberries,"{'irish rock', 'pop rock'}"
5M52tdBnJaKSvOpJGz8mfZ,75,5676585,Black Sabbath,"{'album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal'}"
22bE4uQ6baNwSHPVcDxLCe,82,10881485,The Rolling Stones,"{'british invasion', 'classic rock', 'rock'}"
0L8ExT028jH3ddEcZwqJJ5,84,16890844,Red Hot Chili Peppers,"{'alternative rock', 'funk metal', 'funk rock', 'permanent wave'}"
36QJpDe2go2KgaRleHCDTp,80,11330207,Led Zeppelin,"{'album rock', 'classic rock', 'hard rock', 'rock'}"
5NGO30tJxFlKixkPSgXcFE,77,4482521,The Police,"{'album rock', 'art rock', 'classic rock', 'mellow gold', 'new wave', 'permanent wave', 'rock', 'soft rock'}"
4F84IBURUo98rz4r61KF70,74,2539846,The White Stripes,"{'alternative rock', 'blues rock', 'detroit rock', 'garage rock', 'modern blues rock', 'modern rock', 'permanent wave', 'punk blues', 'rock'}"
6olE6TJLqED3rqDCT0FyPh,84,13778840,Nirvana,"{'alternative rock', 'grunge', 'permanent wave', 'rock'}"
08GQAI4eElDnROBrJRGE0X,83,7260862,Fleetwood Mac,"{'album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock'}"
0rvjqX7ttXeg3mTy8Xscbt,75,3873404,Journey,"{'album rock', 'classic rock', 'hard rock', 'mellow gold', 'rock', 'soft rock'}"
4Z8W4fKeB5YxbusRsdQVPb,80,6488689,Radiohead,"{'alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock'}"
7Ey4PD4MYsKc5I2dolUwbH,78,11019696,Aerosmith,"{'album rock', 'classic rock', 'hard rock', 'rock'}"
3qm84nBOXUEQ2vnTfUTTFC,81,22199693,Guns N' Roses,"{'glam metal', 'hard rock', 'rock'}"
711MCceyCBcFnzjGY4Q7Un,84,20964717,AC/DC,"{'australian rock', 'hard rock', 'rock'}"
1dfeR4HaWDbWqFHLkxsg1d,88,37299308,Queen,"{'classic rock', 'glam rock', 'rock'}"
4q3ewBCX7sLwd24euuV69X,98,38588898,Bad Bunny,"{'latin', 'reggaeton', 'trap latino'}"
1Xyo4u8uXC1ZmMpatF05PJ,94,37563747,The Weeknd,"{'canadian contemporary r&b', 'canadian pop', 'pop'}"
1uNFoZAHBGtllmzznpCI3s,97,51686783,Justin Bieber,"{'canadian pop', 'pop'}"
6M2wZ9GZgrQXHCFfjv46we,93,28963500,Dua Lipa,"{'dance pop', 'pop', 'uk pop'}"
3PhoLpVuITZKcymswpck5b,88,7950638,Elton John,"{'glam rock', 'mellow gold', 'piano rock'}"
4yvcSjfu4PC0CYQyLy4wSq,86,2078097,Glass Animals,"{'gauze pop', 'indietronica', 'shiver pop'}"
2tIP7SsRs7vjIcLrU85W8J,92,2712633,The Kid LAROI,{'australian hip hop'}
2LIk90788K0zvyj2JJVwkJ,89,1241826,Jack Harlow,"{'deep underground hip hop', 'kentucky hip hop', 'pop rap', 'rap'}"
3Nrfpe0tUJi4K4DXYWgMUX,96,40172739,BTS,"{'k-pop', 'k-pop boy group'}"
4gzpq5DPGxSnKTe4SA8HAU,92,32245371,Coldplay,"{'permanent wave', 'pop'}"
7jVv8c5Fj3E9VhNjxT4snq,94,6960123,Lil Nas X,"{'lgbtq+ hip hop', 'pop'}"
6eUKZXaKkcviH0Ku9w2n3V,95,86404564,Ed Sheeran,"{'pop', 'uk pop'}"
5cj0lLjcoR7YOSnhnX0Po5,95,11024131,Doja Cat,"{'dance pop', 'pop'}"
4dpARuHxo51G3z768sgnrY,92,29868704,Adele,"{'british soul', 'pop', 'pop soul', 'uk pop'}"
5vngPClqofybhPERIqQMYd,74,2761936,George Strait,"{'contemporary country', 'country', 'country road', 'country rock'}"
1HY2Jd0NmPuamShAr6KMms,87,19526212,Lady Gaga,"{'dance pop', 'pop'}"
5me0Irg2ANcsgc93uaYrpb,80,6841596,The Notorious B.I.G.,"{'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'rap'}"
1ZwdS5xdxEREPySFridCfh,81,11371727,2Pac,"{'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap'}"
05SdqPzK4m3k1ljK2wrTSP,61,659928,Hobo Johnson,"{'emo rap', 'pop rap', 'sacramento hip hop'}"
